9253 18508
29.871799 19.596399 0.868625
35.321999 19.999399 0.984633
30.836100 19.590700 0.926307
37.772499 20.310200 0.865756
28.345600 20.168699 0.815899
31.917700 20.037701 0.849387
37.345699 20.673401 0.848361
30.401699 20.532000 0.814668
32.920101 20.910200 0.813212
29.098200 23.876801 0.925680
31.122900 23.963600 0.854404
35.565701 24.424601 0.857042
29.526100 24.949600 0.868384
30.950600 24.586599 0.847373
35.438999 25.338900 0.880000
34.342098 25.297100 0.845647
35.606800 19.146299 1.119040
31.801100 19.202200 1.062410
36.641701 19.904600 0.946844
27.217699 20.180099 1.074680
33.486301 19.993601 0.972891
34.218899 20.543501 0.915104
38.822800 20.667900 0.878403
34.756199 20.739000 0.975868
28.248400 20.447100 0.942590
38.113602 21.110399 1.128250
29.504200 21.195000 0.991087
32.695301 21.100100 0.882627
30.068300 21.459700 1.035090
32.025902 21.333200 1.016060
31.259800 23.610500 0.983256
33.431499 23.721500 1.060110
33.045399 24.623501 0.914419
36.715500 24.328699 0.925079
32.330002 24.290600 0.926393
33.723202 24.288099 0.872184
28.226700 24.396299 0.972261
36.576599 25.365999 1.125030
29.677099 25.595200 0.862214
31.278200 25.497999 1.010760
30.893000 25.867599 0.980735
30.865400 26.238400 1.215220
34.270500 26.142300 0.979520
36.561001 18.291901 1.328470
26.915701 19.042101 1.355030
37.161999 19.363701 0.995357
38.324699 19.219700 1.194420
28.593201 19.352100 1.078550
36.494301 18.915800 1.105540
26.192301 20.034500 1.218460
36.147598 20.004900 1.052570
40.020302 19.990900 1.119630
25.640900 20.404400 1.275750
40.212101 20.665199 1.101390
25.359800 20.886499 1.395880
35.931099 20.432800 1.077440
41.258701 20.326099 1.349310
26.438900 20.516899 1.043220
27.269600 20.841400 1.069070
36.970402 20.631100 1.060710
41.846401 21.075300 1.673820
27.148600 21.012400 1.202840
30.298100 21.445499 1.152950
34.591499 21.198799 1.183830
30.644100 21.580099 1.267150
32.578602 21.510799 1.259470
38.857800 21.064600 0.939088
29.285000 23.319799 1.085800
30.887800 23.233400 1.186390
26.170900 23.854799 1.236130
35.016399 23.811199 1.029120
36.636200 23.919901 1.075730
37.728901 24.430500 1.124090
39.203201 24.066500 1.323240
26.844601 23.655600 1.098720
37.521400 25.263300 1.219740
26.548000 24.492599 1.251470
39.766499 24.614000 1.313940
39.637699 25.099400 1.312480
32.703899 25.115900 1.023860
32.464001 25.722000 1.211000
28.381300 25.541401 1.217370
33.621300 26.078899 1.210700
29.723101 26.170900 1.139030
32.640099 26.153299 1.493990
35.030800 26.022499 0.959223
34.182201 26.614901 1.449770
35.009899 26.404400 1.270080
37.368599 17.949600 1.477580
31.092501 18.943501 1.212460
32.873199 18.832600 1.429170
33.422699 19.377100 1.172600
36.862000 21.256599 1.340700
37.084999 20.966700 1.229170
39.722000 21.094200 1.037300
35.079300 21.471100 1.402870
37.907799 21.371799 1.416680
28.968901 21.556400 1.365530
31.529301 21.647499 1.365480
39.853500 21.580799 1.416430
25.479500 23.507601 1.503130
27.208700 23.352800 1.238440
40.430599 24.056499 1.502500
31.742901 25.975201 1.262570
37.570099 25.697001 1.376230
28.955700 26.374001 1.394790
36.390301 26.199699 1.367480
35.798901 26.709101 1.537870
30.030001 26.732401 1.459300
31.339800 14.629500 1.714750
27.028900 18.261299 1.623860
35.599800 18.496201 1.397450
28.144199 18.180099 1.455170
29.772301 18.795401 1.260670
38.383801 18.458799 1.487070
33.995399 18.579100 1.566290
31.793100 18.531900 1.639500
25.735600 18.505301 1.792970
40.005600 19.212099 1.405320
34.403000 19.202499 1.244260
24.860701 19.487400 1.528750
41.139500 19.710199 1.480770
24.445999 19.933399 1.494250
25.504299 21.409901 1.584610
26.068899 21.331301 1.424880
37.509998 21.400900 1.561620
